episode,steps,reward,score,apples,two_apple_success,three_apple_success,epsilon,entropy,truncated
82,39,36.22000000000007,10,1,0,0,0.47990964423451454,1.198191063099776,0
83,11,62.41000000000001,10,1,0,0,0.4796696894123973,1.1978340851536542,0
84,6,0.99,0,0,0,0,0.4794298545676911,1.1974771299874347,0
85,10,61.28000000000001,10,1,0,0,0.4791901396404073,1.1971201977160215,0
86,40,42.40000000000005,10,1,0,0,0.4789505445705871,1.1967632884541193,0
87,52,127.04999999999998,20,2,1,0,0.4787110692983018,1.1964064023162335,0
88,9,2.15,0,0,0,0,0.4784717137636527,1.1960495394166717,0
89,37,129.81000000000006,20,2,1,0,0.4782324779067709,1.1956926998695434,0
90,9,61.930000000000014,10,1,0,0,0.4779933616678176,1.1953358837887593,0
91,23,61.820000000000036,10,1,0,0,0.4777543649869837,1.1949790912880338,0
92,16,127.39000000000004,20,2,1,0,0.4775154878044902,1.1946223224808827,0
93,10,62.08000000000001,10,1,0,0,0.477276730060588,1.1942655774806268,0
94,53,39.560000000000024,10,1,0,0,0.4770380916955578,1.1939088564003884,0
95,10,1.3299999999999998,0,0,0,0,0.47679957264971,1.1935521593530947,0
96,29,65.92000000000002,10,1,0,0,0.4765611728633852,1.193195486451476,0
97,17,63.36000000000001,10,1,0,0,0.4763228922769535,1.1928388378080692,0
98,37,41.94000000000001,10,1,0,0,0.47608473083081504,1.1924822135352122,0
99,7,1.7200000000000002,0,0,0,0,0.4758466884653997,1.192125613745052,0
100,23,65.86,10,1,0,0,0.475608765121167,1.1917690385495379,0
101,50,157.67999999999998,20,2,1,0,0.47537096073860646,1.1914124880604258,0
102,13,37.270000000000024,10,1,0,0,0.4751332752582372,1.191055962389278,0
103,15,38.33000000000001,10,1,0,0,0.4748957086206081,1.1906994616474624,0
104,11,61.09000000000001,10,1,0,0,0.4746582607662978,1.1903429859461543,0
105,41,64.73000000000002,10,1,0,0,0.4744209316359147,1.1899865353963346,0
106,28,66.17999999999999,10,1,0,0,0.4741837211700968,1.1896301101087925,0
107,11,62.87000000000001,10,1,0,0,0.47394662930951176,1.1892737101941242,0
108,10,-23.19,0,0,0,0,0.47370965599485704,1.188917335762734,0
109,8,-24.04,0,0,0,0,0.47347280116685964,1.1885609869248341,0
110,63,46.010000000000005,10,1,0,0,0.4732360647662762,1.188204663790445,0
111,52,147.20999999999987,20,2,1,0,0.4729994467338931,1.1878483664693968,0
112,48,116.47,20,2,1,0,0.4727629470105262,1.187492095071327,0
113,17,36.26000000000002,10,1,0,0,0.47252656553702094,1.1871358497056843,0
114,15,37.130000000000024,10,1,0,0,0.47229030225425245,1.186779630481726,0
115,27,131.18000000000004,20,2,1,0,0.47205415710312537,1.1864234375085188,0
116,10,2.43,0,0,0,0,0.47181813002457385,1.1860672708949411,0
117,9,-22.91,0,0,0,0,0.4715822209595616,1.1857111307496817,0
118,9,63.39000000000001,10,1,0,0,0.4713464298490818,1.1853550171812384,0
119,10,61.01000000000001,10,1,0,0,0.4711107566341573,1.1849989302979225,0
120,11,61.960000000000015,10,1,0,0,0.47087520125584026,1.1846428702078553,0
121,11,1.06,0,0,0,0,0.4706397636552124,1.184286837018971,0
122,64,43.80000000000004,10,1,0,0,0.4704044437733848,1.1839308308390146,0
123,8,-23.2,0,0,0,0,0.47016924155149814,1.1835748517755444,0
124,11,62.41000000000001,10,1,0,0,0.46993415693072244,1.1832188999359314,0
125,44,127.19000000000001,20,2,1,0,0.4696991898522571,1.1828629754273592,0
126,32,153.73999999999992,20,2,1,0,0.469464340257331,1.1825070783568243,0
127,13,-22.470000000000002,0,0,0,0,0.4692296080872024,1.182151208831138,0
128,27,64.82000000000005,10,1,0,0,0.4689949932831588,1.1817953669569239,0
129,21,63.52000000000002,10,1,0,0,0.46876049578651724,1.1814395528406216,0
130,63,40.03000000000003,10,1,0,0,0.468526115538624,1.1810837665884832,0
131,43,126.07,20,2,1,0,0.4682918524808547,1.1807280083065774,0
132,38,154.44,20,2,1,0,0.4680577065546143,1.1803722781007866,0
133,27,-5.030000000000001,0,0,0,0,0.46782367770133704,1.180016576076809,0
134,18,62.48000000000001,10,1,0,0,0.4675897658624864,1.1796609023401592,0
135,23,34.51000000000003,10,1,0,0,0.46735597097955517,1.1793052569961664,0
136,11,-23.04,0,0,0,0,0.46712229299406544,1.1789496401499768,0
137,10,38.09000000000002,10,1,0,0,0.4668887318475684,1.1785940519065532,0
138,64,44.47000000000004,10,1,0,0,0.46665528748164464,1.1782384923706748,0
139,9,-22.29,0,0,0,0,0.46642195983790385,1.1778829616469384,0
140,33,65.60000000000001,10,1,0,0,0.46618874885798495,1.177527459839758,0
141,24,65.41000000000001,10,1,0,0,0.46595565448355597,1.177171987053365,0
142,51,66.63,10,1,0,0,0.4657226766563142,1.1768165433918094,0
143,41,152.61999999999995,20,2,1,0,0.4654898153179861,1.1764611289589588,0
144,58,114.01999999999987,20,2,1,0,0.46525707041032716,1.1761057438584999,0
145,7,36.95,10,1,0,0,0.46502444187512204,1.1757503881939377,0
146,43,68.41000000000003,10,1,0,0,0.46479192965418453,1.1753950620685971,0
147,25,41.89999999999998,10,1,0,0,0.4645595336893575,1.1750397655856217,0
148,9,-21.52,0,0,0,0,0.46432725392251284,1.1746844988479754,0
149,61,43.58000000000001,10,1,0,0,0.4640950902955516,1.1743292619584413,0
150,10,38.07000000000001,10,1,0,0,0.46386304275040385,1.1739740550196234,0
151,11,0.58,0,0,0,0,0.46339917970765343,1.1732635537045688,0
152,21,63.57000000000003,10,1,0,0,0.46293578052794576,1.172553173479918,0
153,58,71.34000000000006,10,1,0,0,0.4624728447474178,1.1718429151606715,0
154,14,63.350000000000016,10,1,0,0,0.46201037190267036,1.1711327795589792,0
155,60,47.26000000000005,10,1,0,0,0.46154836153076767,1.1704227674841485,0
156,58,43.47000000000001,10,1,0,0,0.4610868131692369,1.1697128797426535,0
157,15,3.5700000000000003,0,0,0,0,0.46062572635606763,1.1690031171381454,0
158,47,42.54000000000001,10,1,0,0,0.46016510062971155,1.1682934804714589,0
159,55,127.50000000000003,20,2,1,0,0.4597049355290818,1.1675839705406228,0
160,16,127.59000000000006,20,2,1,0,0.4592452305935527,1.1668745881408684,0
161,7,36.85000000000001,10,1,0,0,0.45878598536295917,1.1661653340646392,0
162,58,125.43999999999983,20,2,1,0,0.4583271993775962,1.165456209101597,0
163,13,62.00000000000002,10,1,0,0,0.4578688721782186,1.1647472140386346,0
164,61,44.06999999999999,10,1,0,0,0.45741100330604034,1.164038349659881,0
165,8,36.38000000000001,10,1,0,0,0.4569535923027343,1.1633296167467122,0
166,9,36.43000000000001,10,1,0,0,0.45649663871043156,1.1626210160777586,0
167,64,24.860000000000046,10,1,0,0,0.4560401420717211,1.161912548428915,0
168,63,48.23000000000002,10,1,0,0,0.4555841019296494,1.1612042145733479,0
169,19,38.45000000000003,10,1,0,0,0.45512851782771974,1.1604960152815043,0
170,54,131.85999999999996,20,2,1,0,0.45467338930989204,1.1597879513211211,0
171,9,2.0500000000000003,0,0,0,0,0.45421871592058216,1.1590800234572327,0
172,12,37.75000000000002,10,1,0,0,0.45376449720466155,1.1583722324521797,0
173,17,2.4699999999999998,0,0,0,0,0.45331073270745686,1.157664579065617,0
174,9,-22.39,0,0,0,0,0.45285742197474943,1.1569570640545246,0
175,7,61.50000000000001,10,1,0,0,0.45240456455277467,1.1562496881732107,0
176,51,131.89999999999992,20,2,1,0,0.4519521599882219,1.1555424521733257,0
177,9,62.28,10,1,0,0,0.4515002078282337,1.1548353568038676,0
178,11,61.680000000000014,10,1,0,0,0.45104870762040544,1.1541284028111904,0
179,59,70.32000000000004,10,1,0,0,0.450597658912785,1.1534215909390135,0
180,14,1.62,0,0,0,0,0.4501470612538722,1.1527149219284283,0
181,21,38.38000000000002,10,1,0,0,0.44969691419261837,1.152008396517908,0
182,8,36.45,10,1,0,0,0.44924721727842576,1.1513020154433145,0
183,68,69.42000000000002,10,1,0,0,0.44879797006114736,1.1505957794379074,0
184,12,38.85000000000001,10,1,0,0,0.4483491720910862,1.1498896892323518,0
185,12,37.55000000000002,10,1,0,0,0.44790082291899513,1.149183745554726,0
186,15,63.00000000000003,10,1,0,0,0.4474529220960761,1.1484779491305304,0
187,12,38.12000000000002,10,1,0,0,0.44700546917398004,1.1477723006826945,0
188,7,61.70000000000001,10,1,0,0,0.44655846370480606,1.147066800931586,0
189,61,44.14000000000006,10,1,0,0,0.4461119052411013,1.1463614505950173,0
190,18,155.25,20,2,1,0,0.4456657933358602,1.1456562503882548,0
191,8,-23.92,0,0,0,0,0.4452201275425243,1.1449512010240261,0
192,13,38.30000000000001,10,1,0,0,0.4447749074149818,1.1442463032125285,0
193,9,36.21000000000001,10,1,0,0,0.44433013250756687,1.1435415576614358,0
194,14,63.140000000000015,10,1,0,0,0.4438858023750593,1.1428369650759072,0
195,11,63.72000000000001,10,1,0,0,0.4434419165726843,1.1421325261585935,0
196,46,65.27999999999999,10,1,0,0,0.4429984746561116,1.1414282416096473,0
197,66,42.30000000000003,10,1,0,0,0.44255547618145546,1.1407241121267286,0
198,34,123.44000000000005,20,2,1,0,0.442112920705274,1.1400201384050135,0
199,59,33.63000000000001,10,1,0,0,0.44167080778456874,1.1393163211372013,0
200,24,153.79000000000002,20,2,1,0,0.4412291369767842,1.138612661013523,0
201,67,40.37000000000003,10,1,0,0,0.44078790783980737,1.137909158721748,0
202,9,36.96000000000001,10,1,0,0,0.44034711993196757,1.1372058149471924,0
203,14,36.17000000000002,10,1,0,0,0.4399067728120356,1.1365026303727261,0
204,12,-23.060000000000002,0,0,0,0,0.4394668660392236,1.1357996056787796,0
205,12,153.52000000000004,20,2,1,0,0.43902739917318434,1.1350967415433544,0
206,34,119.71000000000004,20,2,1,0,0.43858837177401117,1.1343940386420264,0
207,10,60.7,10,1,0,0,0.43814978340223715,1.133691497647957,0
208,14,37.47000000000003,10,1,0,0,0.4377116336188349,1.1329891192318982,0
209,7,63.38,10,1,0,0,0.4372739219852161,1.1322869040622001,0
210,66,37.88000000000005,10,1,0,0,0.43683664806323086,1.131584852804821,0
211,23,40.36000000000003,10,1,0,0,0.43639981141516765,1.1308829661233302,0
212,69,133.85,20,2,1,0,0.43596341160375246,1.1301812446789194,0
213,13,38.08000000000001,10,1,0,0,0.4355274481921487,1.1294796891304082,0
214,9,63.010000000000005,10,1,0,0,0.4350919207439566,1.1287783001342513,0
215,19,3.8600000000000003,0,0,0,0,0.4346568288232126,1.128077078344546,0
216,23,-22.52,0,0,0,0,0.4342221719943894,1.1273760244130395,0
217,10,62.26000000000001,10,1,0,0,0.433787949822395,1.1266751389891363,0
218,53,132.19999999999993,20,2,1,0,0.4333541618725726,1.1259744227199047,0
219,12,-21.26,0,0,0,0,0.4329208077107,1.1252738762500847,0
220,63,50.940000000000026,10,1,0,0,0.43248788690298934,1.1245735002220945,0
221,18,37.940000000000026,10,1,0,0,0.43205539901608636,1.1238732952760377,0
222,51,127.76999999999998,20,2,1,0,0.4316233436170703,1.1231732620497112,0
223,67,33.24000000000002,10,1,0,0,0.4311917202734532,1.1224734011786108,0
224,9,-23.04,0,0,0,0,0.43076052855317976,1.12177371329594,0
225,11,0.5799999999999998,0,0,0,0,0.4303297680246266,1.1210741990326145,0
226,62,40.969999999999985,10,1,0,0,0.42989943825660193,1.1203748590172722,0
227,21,151.33,20,2,1,0,0.4294695388183453,1.119675693876277,0
228,64,68.69000000000007,10,1,0,0,0.429040069279527,1.118976704233729,0
229,52,131.37999999999997,20,2,1,0,0.42861102921024746,1.1182778907114685,0
230,15,152.33,20,2,1,0,0.4281824181810372,1.1175792539290847,0
231,55,126.26999999999995,20,2,1,0,0.42775423576285615,1.1168807945039214,0
232,63,39.08000000000001,10,1,0,0,0.4273264815270933,1.116182513051085,0
233,10,62.180000000000014,10,1,0,0,0.4268991550455662,1.11548441018345,0
234,9,61.65000000000001,10,1,0,0,0.4264722558905206,1.114786486511667,0
235,9,63.760000000000005,10,1,0,0,0.4260457836346301,1.1140887426441681,0
236,28,33.13000000000001,10,1,0,0,0.42561973785099544,1.1133911791871756,0
237,34,65.90999999999997,10,1,0,0,0.42519411811314445,1.1126937967447061,0
238,11,2.56,0,0,0,0,0.4247689239950313,1.1119965959185798,0
239,56,64.82000000000001,10,1,0,0,0.4243441550710363,1.1112995773084255,0
240,13,2.95,0,0,0,0,0.42391981091596526,1.1106027415116877,0
241,41,158.23000000000002,20,2,1,0,0.4234958911050493,1.1099060891236325,0
242,14,62.80000000000001,10,1,0,0,0.42307239521394424,1.109209620737356,0
243,24,41.15999999999998,10,1,0,0,0.4226493228187303,1.1085133369437894,0
244,27,122.80000000000001,20,2,1,0,0.4222266734959116,1.1078172383317055,0
245,11,37.110000000000014,10,1,0,0,0.4218044468224157,1.107121325487726,0
246,11,152.46000000000004,20,2,1,0,0.42138264237559325,1.1064255989963276,0
247,7,35.85000000000001,10,1,0,0,0.4209612597332177,1.1057300594398483,0
248,67,44.02000000000008,10,1,0,0,0.42054029847348445,1.1050347073984939,0
249,22,39.430000000000035,10,1,0,0,0.42011975817501096,1.1043395434503451,0
250,78,70.65999999999991,20,2,1,0,0.41969963841683594,1.1036445681713634,0
251,21,121.80999999999995,20,2,1,0,0.4192799387784191,1.1029497821353964,0
252,64,37.72000000000001,10,1,0,0,0.4188606588396407,1.1022551859141865,0
253,21,36.40000000000002,10,1,0,0,0.4184417981808011,1.1015607800773757,0
254,22,155.74000000000004,20,2,1,0,0.4180233563826203,1.1008665651925114,0
255,50,158.72999999999993,20,2,1,0,0.41760533302623765,1.1001725418250543,0
256,12,1.1599999999999997,0,0,0,0,0.4171877276932114,1.0994787105383839,0
257,63,68.46000000000005,10,1,0,0,0.41677053996551816,1.0987850718938041,0
258,7,36.500000000000014,10,1,0,0,0.41635376942555263,1.0980916264505507,0
259,19,63.95000000000002,10,1,0,0,0.4159374156561271,1.0973983747657967,0
260,14,3.7199999999999998,0,0,0,0,0.4155214782404709,1.0967053173946586,0
261,24,155.48999999999998,20,2,1,0,0.41510595676223044,1.0960124548902033,0
262,6,36.60000000000001,10,1,0,0,0.4146908508054682,1.095319787803453,0
263,37,64.79999999999998,10,1,0,0,0.4142761599546627,1.0946273166833924,0
264,53,129.70000000000002,20,2,1,0,0.41386188379470806,1.093935042076975,0
265,53,31.840000000000014,10,1,0,0,0.41344802191091334,1.0932429645291268,0
266,60,69.40000000000002,10,1,0,0,0.41303457388900244,1.0925510845827564,0
267,13,-22.41,0,0,0,0,0.4126215393151134,1.0918594027787576,0
268,24,154.86999999999998,20,2,1,0,0.4122089177757983,1.0911679196560164,0
269,19,40.120000000000026,10,1,0,0,0.4117967088580225,1.0904766357514184,0
270,62,45.16000000000001,10,1,0,0,0.41138491214916445,1.0897855515998522,0
271,9,37.610000000000014,10,1,0,0,0.4109735272370153,1.0890946677342184,0
272,13,-22.900000000000002,0,0,0,0,0.4105625537097783,1.0884039846854323,0
273,8,37.53000000000001,10,1,0,0,0.4101519911560685,1.0877135029824327,0
274,62,42.59000000000002,10,1,0,0,0.4097418391649124,1.0870232231521864,0
275,13,33.90000000000001,10,1,0,0,0.4093320973257475,1.0863331457196936,0
276,25,-23.54,0,0,0,0,0.40892276522842175,1.085643271207995,0
277,10,0.58,0,0,0,0,0.40851384246319333,1.084953600138177,0
278,31,-20.450000000000003,0,0,0,0,0.4081053286207301,1.0842641330293772,0
279,53,43.290000000000006,10,1,0,0,0.4076972232921094,1.083574870398791,0
280,12,38.87000000000001,10,1,0,0,0.4072895260688173,1.0828858127616776,0
281,60,47.070000000000036,10,1,0,0,0.40688223654274847,1.0821969606313633,0
282,10,61.01000000000001,10,1,0,0,0.40647535430620574,1.081508314519251,0
283,46,131.50999999999996,20,2,1,0,0.4060688789518995,1.0808198749348228,0
284,53,129.74999999999997,20,2,1,0,0.40566281007294763,1.0801316423856477,0
285,60,70.18000000000005,10,1,0,0,0.4052571472628747,1.079443617377386,0
286,10,-23.92,0,0,0,0,0.40485189011561185,1.0787558004137956,0
287,18,60.39000000000002,10,1,0,0,0.4044470382254962,1.0780681919967374,0
288,65,45.18000000000002,10,1,0,0,0.4040425911872707,1.0773807926261818,0
289,62,41.72999999999999,10,1,0,0,0.40363854859608345,1.0766936028002128,0
290,18,127.21999999999997,20,2,1,0,0.40323491004748735,1.0760066230150345,0
291,60,42.170000000000016,10,1,0,0,0.40283167513743984,1.0753198537649769,0
292,9,62.13000000000002,10,1,0,0,0.4024288434623024,1.0746332955425004,0
293,47,40.28000000000001,10,1,0,0,0.4020264146188401,1.0739469488382027,0
294,45,65.66999999999997,10,1,0,0,0.40162438820422125,1.0732608141408237,0
295,51,158.30999999999997,20,2,1,0,0.401222763816017,1.0725748919372504,0
296,21,66.04999999999998,10,1,0,0,0.40082154105220097,1.0718891827125236,0
297,13,151.99,20,2,1,0,0.40042071951114877,1.071203686949842,0
298,55,68.62000000000002,10,1,0,0,0.40002029879163764,1.0705184051305692,0
299,16,63.46000000000001,10,1,0,0,0.399620278492846,1.069833337734237,0
300,14,-22.41,0,0,0,0,0.39922065821435315,1.0691484852385538,0
301,22,129.17000000000002,20,2,1,0,0.3988214375561388,1.0684638481194064,0
302,29,36.69000000000001,10,1,0,0,0.39842261611858265,1.0677794268508696,0
303,15,2.87,0,0,0,0,0.39802419350246404,1.0670952219052063,0
304,7,1.7200000000000002,0,0,0,0,0.39762616930896155,1.0664112337528784,0
305,56,129.59,20,2,1,0,0.3972285431396526,1.0657274628625482,0
306,30,41.44999999999999,10,1,0,0,0.39683131459651294,1.0650439097010849,0
307,45,39.940000000000026,10,1,0,0,0.39643448328191644,1.06436057473357,0
308,43,67.83999999999996,10,1,0,0,0.3960380487986345,1.0636774584233035,0
309,12,-25.880000000000003,0,0,0,0,0.3956420107498359,1.0629945612318068,0
310,12,39.80000000000001,10,1,0,0,0.3952463687390861,1.0623118836188303,0
311,16,38.33000000000002,10,1,0,0,0.394851122370347,1.061629426042357,0
312,29,62.88,10,1,0,0,0.3944562712479766,1.060947188958609,0
313,12,38.97000000000001,10,1,0,0,0.39406181497672865,1.0602651728220516,0
314,27,63.76000000000004,10,1,0,0,0.3936677531617519,1.0595833780853987,0
315,15,64.40000000000002,10,1,0,0,0.39327408540859016,1.0589018051996184,0
316,16,62.04000000000001,10,1,0,0,0.3928808113231816,1.058220454613938,0
317,8,-22.880000000000003,0,0,0,0,0.39248793051185843,1.0575393267758488,0
318,26,39.74000000000001,10,1,0,0,0.3920954425813466,1.056858422131111,0
319,12,39.980000000000004,10,1,0,0,0.39170334713876526,1.05617774112376,0
320,18,39.640000000000015,10,1,0,0,0.3913116437916265,1.05549728419611,0
321,28,66.01,10,1,0,0,0.39092033214783484,1.05481705178876,0
322,48,32.860000000000014,10,1,0,0,0.390529411815687,1.0541370443405982,0
323,27,64.89000000000003,10,1,0,0,0.39013888240387135,1.0534572622888072,0
324,27,156.64999999999998,20,2,1,0,0.3897487435214675,1.0527777060688697,0
325,25,42.31999999999998,10,1,0,0,0.389358994777946,1.0520983761145724,0
326,22,38.98000000000001,10,1,0,0,0.38896963578316807,1.0514192728580116,0
327,49,131.39999999999995,20,2,1,0,0.3885806661473849,1.0507403967295983,0
328,46,573.5799999999999,30,3,1,1,0.3881920854812375,1.050061748158062,0
329,9,151.08,20,2,1,0,0.38780389339575627,1.0493833275704578,0
330,13,-22.85,0,0,0,0,0.3874160895023605,1.0487051353921688,0
331,24,-19.81,0,0,0,0,0.3870286734128581,1.0480271720469125,0
332,32,37.10000000000004,10,1,0,0,0.3866416447394453,1.0473494379567456,0
333,60,35.35000000000002,10,1,0,0,0.38625500309470584,1.0466719335420687,0
334,14,61.77000000000002,10,1,0,0,0.38586874809161115,1.04599465922163,0
335,10,1.78,0,0,0,0,0.38548287934351955,1.0453176154125328,0
336,12,35.55000000000001,10,1,0,0,0.385097396464176,1.0446408025302365,0
337,14,-28.520000000000003,0,0,0,0,0.3847122990677118,1.0439642209885656,0
338,13,38.57000000000001,10,1,0,0,0.3843275867686441,1.0432878711997113,0
339,39,131.58000000000004,20,2,1,0,0.38394325918187544,1.0426117535742379,0
340,23,39.580000000000034,10,1,0,0,0.38355931592269354,1.0419358685210862,0
341,18,39.42000000000002,10,1,0,0,0.38317575660677083,1.0412602164475802,0
342,7,62.45,10,1,0,0,0.38279258085016404,1.0405847977594298,0
343,44,138.02,20,2,1,0,0.3824097882693139,1.0399096128607366,0
344,14,38.13000000000001,10,1,0,0,0.38202737848104457,1.0392346621539987,0
345,9,-0.57,10,1,0,0,0.38164535110256353,1.0385599460401145,0
346,24,129.51999999999998,20,2,1,0,0.38126370575146096,1.0378854649183884,0
347,55,132.48999999999998,20,2,1,0,0.3808824420457095,1.0372112191865344,0
348,25,66.36000000000001,10,1,0,0,0.3805015596036638,1.0365372092406815,0
349,45,133.69999999999996,20,2,1,0,0.3801210580440601,1.035863435475378,0
350,21,129.08,20,2,1,0,0.379740936986016,1.0351898982835965,0
351,14,38.68000000000001,10,1,0,0,0.37936119604903,1.0345165980567377,0
352,16,128.81000000000003,20,2,1,0,0.378981834852981,1.0338435351846353,0
353,47,132.13,20,2,1,0,0.378602853018128,1.0331707100555616,0
354,23,65.16000000000001,10,1,0,0,0.3782242501651099,1.0324981230562293,0
355,48,579.17,30,3,1,1,0.3778460259149448,1.0318257745717996,0
