episode,steps,total_reward,score,success,epsilon
1,86,-24.299999999999994,0,0,0.997
2,87,-24.349999999999994,0,0,0.994009
3,43,-2.1000000000000005,0,0,0.991026973
4,99,5.049999999999965,10,0,0.988053892081
5,65,-23.249999999999996,0,0,0.985089730404757
6,14,-20.7,0,0,0.9821344612135428
7,44,-22.200000000000003,0,0,0.9791880578299021
8,43,-22.150000000000002,0,0,0.9762504936564125
9,6,-20.3,0,0,0.9733217421754432
10,23,-21.150000000000002,0,0,0.9704017769489168
11,44,-22.200000000000003,0,0,0.9674905716180701
12,67,-23.349999999999998,0,0,0.9645880999032158
13,68,-23.4,0,0,0.9616943356035061
14,62,-23.099999999999998,0,0,0.9588092525966956
15,22,-21.1,0,0,0.9559328248389055
16,54,7.299999999999972,10,0,0.9530650263643888
17,30,-21.5,0,0,0.9502058312852957
18,63,-23.15,0,0,0.9473552137914398
19,11,-20.55,0,0,0.9445131481500655
20,27,-21.35,0,0,0.9416796087056153
21,37,-21.85,0,0,0.9388545698794984
22,40,-22.0,0,0,0.93603800616986
23,88,-24.39999999999999,0,0,0.9332298921513504
24,21,-21.05,0,0,0.9304302024748964
25,43,-22.150000000000002,0,0,0.9276389118674717
26,21,-21.05,0,0,0.9248559951318693
27,65,-23.249999999999996,0,0,0.9220814271464737
28,19,-20.95,0,0,0.9193151828650342
29,21,-21.05,0,0,0.9165572373164391
30,66,-23.299999999999997,0,0,0.9138075656044898
31,28,-21.400000000000002,0,0,0.9110661429076764
32,45,-22.25,0,0,0.9083329444789534
33,99,25.099999999999987,10,0,0.9056079456455165
34,11,-20.55,0,0,0.90289112180858
35,16,-20.8,0,0,0.9001824484431542
36,72,-3.5499999999999954,0,0,0.8974819010978248
37,69,-3.399999999999996,0,0,0.8947894553945313
38,43,-22.150000000000002,0,0,0.8921050870283477
39,22,-1.0500000000000003,0,0,0.8894287717672626
40,87,-24.349999999999994,0,0,0.8867604854519608
41,26,-21.3,0,0,0.884100203995605
42,68,6.59999999999998,10,0,0.8814479033836181
43,12,-20.6,0,0,0.8788035596734672
44,58,-22.9,0,0,0.8761671489944468
45,26,-21.3,0,0,0.8735386475474635
46,23,-1.1000000000000003,0,0,0.8709180316048211
47,92,-24.599999999999994,0,0,0.8683052775100066
48,21,-21.05,0,0,0.8657003616774767
49,195,0.24999999999997513,10,0,0.8631032605924442
50,88,-24.39999999999999,0,0,0.860513950810667
51,62,-23.099999999999998,0,0,0.857932408958235
52,88,-24.39999999999999,0,0,0.8553586117313603
53,24,-21.200000000000003,0,0,0.8527925358961662
54,150,2.4999999999999787,10,0,0.8502341582884777
55,89,-24.449999999999992,0,0,0.8476834558136123
56,27,-21.35,0,0,0.8451404054461714
57,5,-20.25,0,0,0.8426049842298329
58,45,-22.25,0,0,0.8400771692771434
59,150,-27.499999999999982,0,0,0.837556937769312
60,58,-22.9,0,0,0.835044266956004
61,20,-21.0,0,0,0.8325391341551359
62,119,-25.94999999999999,0,0,0.8300415167526705
63,106,-25.29999999999999,0,0,0.8275513922024125
64,54,-22.7,0,0,0.8250687380258053
65,125,-26.249999999999986,0,0,0.8225935318117279
66,89,-24.449999999999992,0,0,0.8201257512162927
67,66,-23.299999999999997,0,0,0.8176653739626438
68,19,-20.95,0,0,0.8152123778407558
69,218,-30.90000000000002,0,0,0.8127667407072335
70,18,-20.900000000000002,0,0,0.8103284404851119
71,73,-23.649999999999995,0,0,0.8078974551636565
72,64,-23.199999999999996,0,0,0.8054737627981655
73,44,-22.200000000000003,0,0,0.803057341509771
74,20,-21.0,0,0,0.8006481694852418
75,75,26.300000000000004,10,0,0.798246224976786
76,42,-22.1,0,0,0.7958514863018556
77,6,-20.3,0,0,0.79346393184295
78,64,-23.199999999999996,0,0,0.7910835400474212
79,62,-23.099999999999998,0,0,0.7887102894272789
80,9,-20.45,0,0,0.7863441585589971
81,192,0.3999999999999986,10,0,0.78398512608332
82,127,-26.349999999999987,0,0,0.7816331707050701
83,18,-20.900000000000002,0,0,0.7792882711929549
84,98,-24.89999999999999,0,0,0.776950406379376
85,49,-22.45,0,0,0.7746195551602378
86,116,4.20000000000001,10,0,0.7722956964947572
87,60,6.999999999999982,10,0,0.7699788094052729
88,40,-22.0,0,0,0.767668872977057
89,16,-0.7500000000000001,0,0,0.7653658663581259
90,64,-23.199999999999996,0,0,0.7630697687590515
91,93,-24.64999999999999,0,0,0.7607805594527743
92,21,-21.05,0,0,0.7584982177744161
93,17,-20.85,0,0,0.7562227231210928
94,26,-21.3,0,0,0.7539540549517295
95,135,-26.749999999999986,0,0,0.7516921927868743
96,51,7.449999999999992,10,0,0.7494371162085136
97,42,-22.1,0,0,0.747188804859888
98,108,4.599999999999973,10,0,0.7449472384453084
99,6,-20.3,0,0,0.7427123967299725
100,204,-0.20000000000000995,10,0,0.7404842595397826
101,25,-21.25,0,0,0.7382628067611632
102,53,27.4,10,0,0.7360480183408797
103,74,6.300000000000004,10,0,0.7338398742858571
104,47,7.649999999999999,10,0,0.7316383546629995
105,25,-21.25,0,0,0.7294434395990105
106,67,-23.349999999999998,0,0,0.7272551092802134
107,20,-21.0,0,0,0.7250733439523728
108,13,-20.650000000000002,0,0,0.7228981239205157
109,120,-25.999999999999986,0,0,0.7207294295487541
110,16,-20.8,0,0,0.7185672412601078
111,55,7.249999999999993,10,0,0.7164115395363275
112,52,7.3999999999999915,10,0,0.7142623049177186
113,33,-21.650000000000002,0,0,0.7121195180029655
114,14,-20.7,0,0,0.7099831594489566
115,71,-3.4999999999999956,0,0,0.7078532099706097
116,33,-21.650000000000002,0,0,0.7057296503406979
117,194,-9.650000000000002,0,0,0.7036124613896758
118,102,-25.09999999999999,0,0,0.7015016240055068
119,138,3.100000000000005,10,0,0.6993971191334902
120,54,27.349999999999984,10,0,0.6972989277760897
121,61,-23.049999999999997,0,0,0.6952070309927615
122,189,-29.45,0,0,0.6931214098997832
123,63,-23.15,0,0,0.6910420456700839
124,219,-30.95000000000002,0,0,0.6889689195330736
125,21,-21.05,0,0,0.6869020127744744
126,75,6.2500000000000036,10,0,0.684841306736151
127,26,8.699999999999996,10,0,0.6827867828159425
128,5,-20.25,0,0,0.6807384224674947
129,22,-21.1,0,0,0.6786962072000923
130,18,-20.900000000000002,0,0,0.676660118578492
131,8,-20.400000000000002,0,0,0.6746301382227565
132,17,-20.85,0,0,0.6726062478080883
133,49,-22.45,0,0,0.6705884290646641
134,19,-20.95,0,0,0.66857666377747
135,43,-22.150000000000002,0,0,0.6665709337861376
136,18,-20.900000000000002,0,0,0.6645712209847792
137,83,-24.149999999999995,0,0,0.6625775073218249
138,22,-21.1,0,0,0.6605897747998594
139,81,5.949999999999967,10,0,0.6586080054754598
140,5,-20.25,0,0,0.6566321814590335
141,43,-22.150000000000002,0,0,0.6546622849146564
142,5,-20.25,0,0,0.6526982980599124
143,29,-21.450000000000003,0,0,0.6507402031657327
144,50,7.499999999999993,10,0,0.6487879825562355
145,5,-20.25,0,0,0.6468416186085668
146,49,7.549999999999997,10,0,0.6449010937527411
147,39,-21.950000000000003,0,0,0.6429663904714829
148,52,7.399999999999999,10,0,0.6410374913000684
149,84,-24.199999999999996,0,0,0.6391143788261682
150,18,-0.8500000000000002,0,0,0.6371970356896897
151,99,5.049999999999983,10,0,0.6352854445826206
152,30,8.499999999999993,10,0,0.6333795882488727
153,112,4.399999999999935,10,0,0.6314794494841262
154,17,-0.8000000000000002,0,0,0.6295850111356738
155,20,-21.0,0,0,0.6276962561022668
156,108,-25.39999999999999,0,0,0.62581316733396
157,61,-23.049999999999997,0,0,0.623935727831958
158,102,4.899999999999999,10,0,0.6220639206484622
159,23,-1.1000000000000003,0,0,0.6201977288865168
160,129,-26.449999999999985,0,0,0.6183371356998573
161,69,-23.449999999999996,0,0,0.6164821242927577
162,49,7.549999999999997,10,0,0.6146326779198794
163,128,-26.399999999999984,0,0,0.6127887798861198
164,58,-22.9,0,0,0.6109504135464614
165,115,4.249999999999968,10,0,0.609117562305822
166,132,3.399999999999949,10,0,0.6072902096189046
167,31,8.45,10,0,0.6054683389900478
168,15,-20.75,0,0,0.6036519339730777
169,173,1.3499999999999837,10,0,0.6018409781711584
170,44,-22.200000000000003,0,0,0.6000354552366449
171,78,6.09999999999998,10,0,0.598235348870935
172,38,-21.900000000000002,0,0,0.5964406428243222
173,88,-24.39999999999999,0,0,0.5946513208958493
174,24,-21.200000000000003,0,0,0.5928673669331617
175,83,25.89999999999997,10,0,0.5910887648323622
176,52,27.45,10,0,0.5893154985378651
177,21,-21.05,0,0,0.5875475520422515
178,33,8.34999999999999,10,0,0.5857849093861247
179,72,26.44999999999998,10,0,0.5840275546579663
180,17,-20.85,0,0,0.5822754719939924
181,104,-25.19999999999999,0,0,0.5805286455780104
182,95,135.24999999999997,20,1,0.5787870596412764
183,44,-22.200000000000003,0,0,0.5770506984623526
184,23,-21.150000000000002,0,0,0.5753195463669655
185,27,-21.35,0,0,0.5735935877278646
186,76,6.199999999999989,10,0,0.571872806964681
187,26,-1.2500000000000004,0,0,0.5701571885437869
188,54,7.299999999999997,10,0,0.5684467169781556
189,50,7.499999999999993,10,0,0.5667413768272211
190,133,-26.649999999999984,0,0,0.5650411526967395
191,170,1.4999999999999503,10,0,0.5633460292386493
192,98,5.1000000000000085,10,0,0.5616559911509333
193,129,3.5499999999999403,10,0,0.5599710231774805
194,146,-27.299999999999983,0,0,0.5582911101079481
195,66,-23.299999999999997,0,0,0.5566162367776242
196,177,1.1499999999999773,10,0,0.5549463880672914
197,500,-25.00000000000022,0,0,0.5532815489030894
198,137,3.1499999999999133,10,0,0.5516217042563801
199,40,-22.0,0,0,0.549966839143611
200,75,6.25,10,0,0.5483169386261801
201,30,8.49999999999999,10,0,0.5466719878103016
202,125,3.749999999999936,10,0,0.5450319718468707
203,50,7.499999999999993,10,0,0.5433968759313301
204,242,-32.10000000000004,0,0,0.5417666853035361
205,55,-22.75,0,0,0.5401413852476254
206,156,2.1999999999999176,10,0,0.5385209610918825
207,30,8.499999999999998,10,0,0.5369053982086068
208,97,5.150000000000009,10,0,0.535294682013981
209,38,-1.850000000000001,0,0,0.5336887979679391
210,194,0.2999999999998728,10,0,0.5320877315740353
211,150,-27.499999999999982,0,0,0.5304914683793133
212,129,3.5499999999999226,10,0,0.5288999939741753
213,72,6.399999999999995,10,0,0.5273132939922528
214,283,-4.150000000000151,10,0,0.525731354110276
215,353,-17.600000000000115,0,0,0.5241541600479452
216,35,8.249999999999998,10,0,0.5225816975678014
217,219,-30.95000000000002,0,0,0.521013952475098
218,77,6.149999999999981,10,0,0.5194509106176727
219,40,-22.0,0,0,0.5178925578858197
220,243,-32.150000000000034,0,0,0.5163388802121622
221,33,8.34999999999999,10,0,0.5147898635715258
222,20,-0.9500000000000003,0,0,0.5132454939808112
223,59,7.049999999999969,10,0,0.5117057574988688
224,418,-40.90000000000016,0,0,0.5101706402263723
225,85,5.749999999999957,10,0,0.5086401283056932
226,94,5.299999999999958,10,0,0.5071142079207761
227,54,7.299999999999997,10,0,0.5055928652970137
228,130,3.4999999999999254,10,0,0.5040760867011227
229,23,-21.150000000000002,0,0,0.5025638584410194
230,152,-27.59999999999998,0,0,0.5010561668656963
