episode,steps,total_reward,score,success,outcome,epsilon
1,34,-21.66849853515625,0,0,failed,0.999
2,36,-21.836699645996095,0,0,failed,0.998001
3,42,-1.8529692077636726,0,0,failed,0.997002999
4,70,26.76037759399413,10,0,one_apple,0.996005996001
5,28,-1.3203847656250003,0,0,failed,0.995009990004999
6,15,-0.6860881347656249,10,0,one_apple,0.994014980014994
7,47,28.003102691650387,10,0,one_apple,0.993020965034979
8,16,9.222113784790038,10,0,one_apple,0.9920279440699441
9,9,-20.340673767089843,0,0,failed,0.9910359161258742
10,5,-20.150000000000002,0,0,failed,0.9900448802097482
11,7,-20.31400360107422,0,0,failed,0.9890548353295385
12,29,-1.2675284729003906,0,0,failed,0.988065780494209
13,17,-20.872482849121095,0,0,failed,0.9870777147137147
14,11,-0.6063131713867187,0,0,failed,0.986090636999001
15,21,-20.97757629394531,0,0,failed,0.9851045463620021
16,37,-21.984855407714846,0,0,failed,0.98411944181564
17,8,-20.180056396484375,0,0,failed,0.9831353223738244
18,18,-20.920490966796876,0,0,failed,0.9821521870514506
19,28,8.683861572265624,10,0,one_apple,0.9811700348643991
20,10,-20.45,0,0,failed,0.9801888648295347
21,39,-1.5551533203125005,0,0,failed,0.9792086759647052
22,19,-20.715289459228515,0,0,failed,0.9782294672887405
23,13,-0.44458172607421875,10,0,one_apple,0.9772512378214517
24,4,-20.150000000000002,0,0,failed,0.9762739865836303
25,24,-1.0763266601562502,0,0,failed,0.9752977125970467
26,19,-0.8549865112304686,0,0,failed,0.9743224148844496
27,10,-20.427316833496093,0,0,failed,0.9733480924695651
28,9,-20.27972027587891,0,0,failed,0.9723747443770956
29,10,-0.356085693359375,0,0,failed,0.9714023696327185
30,74,6.648117980957018,10,0,one_apple,0.9704309672630859
31,14,-20.61804919433594,0,0,failed,0.9694605362958227
32,6,-20.195871780395507,0,0,failed,0.9684910757595269
33,15,-0.7,0,0,failed,0.9675225846837673
34,30,-21.487375549316408,0,0,failed,0.9665550620990835
35,21,-21.09434185791016,0,0,failed,0.9655885070369844
36,10,-20.415735961914063,0,0,failed,0.9646229185299474
37,23,-1.245506042480469,0,0,failed,0.9636582956114175
38,9,-20.41144110107422,0,0,failed,0.9626946373158061
39,14,-20.744935546875002,0,0,failed,0.9617319426784903
40,18,-0.6745554199218752,0,0,failed,0.9607702107358118
41,22,-21.05781674194336,0,0,failed,0.959809440525076
42,30,-21.58137857055664,0,0,failed,0.9588496310845509
43,14,-0.5108775939941407,0,0,failed,0.9578907814534664
44,19,-0.7382996826171875,0,0,failed,0.9569328906720129
45,16,-20.915528076171874,0,0,failed,0.9559759577813409
46,21,-0.9462590942382813,0,0,failed,0.9550199818235596
47,12,-0.355873779296875,0,0,failed,0.9540649618417361
48,31,28.339310729980465,10,0,one_apple,0.9531108968798944
49,28,-1.439502410888672,0,0,failed,0.9521577859830145
50,7,-20.29621728515625,0,0,failed,0.9512056281970315
51,11,-0.3608853759765627,0,0,failed,0.9502544225688344
52,9,-0.2369088134765625,10,0,one_apple,0.9493041681462656
