episode,steps,total_reward,score,success,epsilon
1,44,-22.21561950683594,0,0,0.997
2,60,-23.08766510009766,0,0,0.994009
3,27,-21.1,0,0,0.991026973
4,23,-21.1,0,0,0.988053892081
5,9,-0.2,0,0,0.985089730404757
6,44,-22.202366943359376,0,0,0.9821344612135428
7,15,-20.559754028320313,0,0,0.9791880578299021
8,18,-20.712674560546876,0,0,0.9762504936564125
9,72,6.662366943359366,10,0,0.9733217421754432
10,20,-0.7999999999999999,0,0,0.9704017769489168
11,60,-22.900000000000002,0,0,0.9674905716180701
12,20,-20.881025390625,0,0,0.9645880999032158
13,44,-22.3,0,0,0.9616943356035061
14,66,-22.980515747070314,0,0,0.9588092525966956
15,20,-20.772193603515625,0,0,0.9559328248389055
16,20,-20.7,0,0,0.9530650263643888
17,21,-21.2,0,0,0.9502058312852957
18,63,-23.153305969238282,0,0,0.9473552137914398
19,19,-20.872193603515626,0,0,0.9445131481500655
20,43,-21.898753662109375,0,0,0.9416796087056153
21,40,-21.933831787109376,0,0,0.9388545698794984
22,19,-20.86896789550781,0,0,0.93603800616986
23,69,-23.285122070312504,0,0,0.9332298921513504
24,19,-20.8,0,0,0.9304302024748964
25,41,-21.8,0,0,0.9276389118674717
26,14,-20.28108642578125,0,0,0.9248559951318693
27,30,-21.3,0,0,0.9220814271464737
28,35,-21.599522705078126,0,0,0.9193151828650342
29,15,-20.222686767578125,0,0,0.9165572373164391
30,89,-24.178328857421874,0,0,0.9138075656044898
31,15,-20.6,0,0,0.9110661429076764
32,18,-20.6,0,0,0.9083329444789534
33,36,8.384308471679685,10,0,0.9056079456455165
34,26,-21.0,0,0,0.90289112180858
35,59,-22.959853515625024,0,0,0.9001824484431542
36,44,-21.773162841796875,0,0,0.8974819010978248
37,112,-25.957102661132808,0,0,0.8947894553945313
38,19,-20.8,0,0,0.8921050870283477
39,74,-23.56303649902344,0,0,0.8894287717672626
40,32,8.499999999999996,10,0,0.8867604854519608
41,22,-20.904358825683595,0,0,0.884100203995605
42,38,-21.7,0,0,0.8814479033836181
43,37,-21.7,0,0,0.8788035596734672
44,60,6.9999999999999964,10,0,0.8761671489944468
45,151,2.3499999999999943,10,0,0.8735386475474635
46,17,-20.572193603515625,0,0,0.8709180316048211
47,22,-21.08883544921875,0,0,0.8683052775100066
48,63,-23.088719177246094,0,0,0.8657003616774767
49,114,-25.304123229980465,0,0,0.8631032605924442
50,77,6.399999999999988,10,0,0.860513950810667
51,20,-20.9,0,0,0.857932408958235
52,66,-22.952127685546877,0,0,0.8553586117313603
53,44,-22.0,0,0,0.8527925358961662
54,29,8.612692871093751,10,0,0.8502341582884777
55,60,-22.652108459472657,0,0,0.8476834558136123
56,23,-21.0,0,0,0.8451404054461714
57,111,-25.709078979492183,0,0,0.8426049842298329
58,128,-26.059843749999995,0,0,0.8400771692771434
59,99,-24.5,0,0,0.837556937769312
60,49,-22.43259765625,0,0,0.835044266956004
61,47,-22.400000000000002,0,0,0.8325391341551359
62,130,-26.57495239257812,0,0,0.8300415167526705
63,127,-26.119208374023433,0,0,0.8275513922024125
64,53,7.209020385742182,10,0,0.8250687380258053
65,6,-20.2,0,0,0.8225935318117279
66,128,-26.499999999999993,0,0,0.8201257512162927
67,21,-20.872193603515626,0,0,0.8176653739626438
68,135,-26.696590270996087,0,0,0.8152123778407558
69,12,-20.32477279663086,0,0,0.8127667407072335
70,30,-21.3,0,0,0.8103284404851119
71,81,-23.81169189453125,0,0,0.8078974551636565
72,18,-20.675902099609374,0,0,0.8054737627981655
73,61,-22.900000000000002,0,0,0.803057341509771
74,15,-20.672193603515623,0,0,0.8006481694852418
75,16,-20.5,0,0,0.798246224976786
76,69,6.488349304199211,10,0,0.7958514863018556
77,6,-20.172193603515623,0,0,0.79346393184295
78,19,-0.82177490234375,0,0,0.7910835400474212
79,80,-24.0616162109375,0,0,0.7887102894272789
80,151,-27.329993896484364,0,0,0.7863441585589971
81,70,-3.1500808715820328,0,0,0.78398512608332
82,56,7.488011474609355,10,0,0.7816331707050701
83,40,-21.900000000000002,0,0,0.7792882711929549
84,29,8.727806396484372,10,0,0.776950406379376
85,77,-23.466859130859376,0,0,0.7746195551602378
86,5,-20.0,0,0,0.7722956964947572
87,19,-20.972193603515624,0,0,0.7699788094052729
88,68,6.927838439941386,10,0,0.767668872977057
89,17,-20.7,0,0,0.7653658663581259
90,40,-21.972193603515628,0,0,0.7630697687590515
91,85,-24.3,0,0,0.7607805594527743
92,77,6.577203369140605,10,0,0.7584982177744161
93,21,-21.2,0,0,0.7562227231210928
94,37,-21.45569580078125,0,0,0.7539540549517295
95,56,7.359338989257804,10,0,0.7516921927868743
96,17,-20.8,0,0,0.7494371162085136
97,18,-20.697900390625,0,0,0.747188804859888
98,79,6.701867675781244,10,0,0.7449472384453084
99,15,-20.572193603515625,0,0,0.7427123967299725
100,43,-22.11832214355469,0,0,0.7404842595397826
