episode,steps,total_reward,score,success,epsilon
1,34,-0.30039093017578433,0,0,0.997
2,25,-0.9645426940917988,0,0,0.994009
3,9,2.606927795410157,0,0,0.991026973
4,15,-0.2167666625976552,0,0,0.988053892081
5,33,-18.271529769897466,0,0,0.985089730404757
6,10,-20.059644165039064,0,0,0.9821344612135428
7,8,1.237237243652344,0,0,0.9791880578299021
8,17,-19.14452117919922,0,0,0.9762504936564125
9,29,29.80751708984375,10,0,0.9733217421754432
10,6,-18.42341293334961,0,0,0.9704017769489168
11,32,-2.2631735229492174,0,0,0.9674905716180701
12,42,-21.11250183105469,0,0,0.9645880999032158
13,30,-21.39903045654297,0,0,0.9616943356035061
14,39,8.107025070190424,10,0,0.9588092525966956
15,23,0.22508361816406025,0,0,0.9559328248389055
16,10,-20.72805603027344,0,0,0.9530650263643888
17,10,0.3671536254882808,0,0,0.9502058312852957
18,23,-0.6996087646484379,0,0,0.9473552137914398
19,10,-20.005137023925784,0,0,0.9445131481500655
20,9,-19.759696655273437,0,0,0.9416796087056153
21,20,0.2649296569824204,0,0,0.9388545698794984
22,17,-19.71961853027344,0,0,0.93603800616986
23,15,11.503821182250977,10,0,0.9332298921513504
24,11,-19.294340820312502,0,0,0.9304302024748964
25,10,-19.921224060058595,0,0,0.9276389118674717
26,14,0.8833210754394537,0,0,0.9248559951318693
27,34,-22.433195648193365,0,0,0.9220814271464737
28,11,-19.70100738525391,0,0,0.9193151828650342
29,21,-20.228970489501954,0,0,0.9165572373164391
30,32,-0.7872943115234399,0,0,0.9138075656044898
31,9,-19.844595031738283,0,0,0.9110661429076764
32,18,-20.536591796875,0,0,0.9083329444789534
33,22,31.90962921142578,10,0,0.9056079456455165
34,26,-19.81307586669922,0,0,0.90289112180858
35,20,-20.293209686279294,0,0,0.9001824484431542
36,9,0.8982376098632807,0,0,0.8974819010978248
37,24,-20.818198852539066,0,0,0.8947894553945313
38,16,11.768347702026364,10,0,0.8921050870283477
39,21,12.23009994506835,10,0,0.8894287717672626
40,24,-1.2195440673828126,0,0,0.8867604854519608
41,21,-20.071808013916012,0,0,0.884100203995605
42,45,27.844328918457027,10,0,0.8814479033836181
43,7,-19.128926086425782,0,0,0.8788035596734672
44,33,-0.8754949951171903,0,0,0.8761671489944468
45,17,1.1118657684326154,0,0,0.8735386475474635
46,14,29.757917785644533,10,0,0.8709180316048211
47,9,-18.334566040039064,0,0,0.8683052775100066
48,21,-1.3948081970214845,0,0,0.8657003616774767
49,18,-20.072093353271484,0,0,0.8631032605924442
50,27,-20.155763244628908,0,0,0.860513950810667
